"FC","FCnum","EndDate"
"G20",2020.08333333333,2019-12-30
"F20",2020,2019-11-29
"Z19",2019.91666666667,2019-10-31
"X19",2019.83333333333,2019-09-30
"V19",2019.75,2019-08-30
"U19",2019.66666666667,2019-07-31
"Q19",2019.58333333333,2019-06-28
"N19",2019.5,2019-05-31
"M19",2019.41666666667,2019-04-30
"K19",2019.33333333333,2019-03-29
"J19",2019.25,2019-02-28
"H19",2019.16666666667,2019-01-31
"G19",2019.08333333333,2018-12-28
"F19",2019,2018-11-30
"Z18",2018.91666666667,2018-10-31
"X18",2018.83333333333,2018-09-28
"V18",2018.75,2018-08-31
"U18",2018.66666666667,2018-07-31
"Q18",2018.58333333333,2018-06-29
"N18",2018.5,2018-05-31
"M18",2018.41666666667,2018-04-30
"K18",2018.33333333333,2018-03-29
"J18",2018.25,2018-02-28
"H18",2018.16666666667,2018-01-31
"G18",2018.08333333333,2017-12-28
"F18",2018,2017-11-30
"Z17",2017.91666666667,2017-10-31
"X17",2017.83333333333,2017-09-29
"V17",2017.75,2017-08-31
"U17",2017.66666666667,2017-07-31
"Q17",2017.58333333333,2017-06-30
"N17",2017.5,2017-05-31
"M17",2017.41666666667,2017-04-28
"K17",2017.33333333333,2017-03-31
"J17",2017.25,2017-02-28
"H17",2017.16666666667,2017-01-31
"G17",2017.08333333333,2016-12-29
"F17",2017,2016-11-30
"Z16",2016.91666666667,2016-10-31
"X16",2016.83333333333,2016-09-30
"V16",2016.75,2016-08-31
"U16",2016.66666666667,2016-07-29
"Q16",2016.58333333333,2016-06-30
"N16",2016.5,2016-05-31
"M16",2016.41666666667,2016-04-29
"K16",2016.33333333333,2016-03-31
"J16",2016.25,2016-02-29
"H16",2016.16666666667,2016-01-29
"G16",2016.08333333333,2016-01-14
"F16",2016,2015-12-16
"Z15",2015.91666666667,2015-11-13
"X15",2015.83333333333,2015-10-15
"V15",2015.75,2015-09-15
"U15",2015.66666666667,2015-08-14
"Q15",2015.58333333333,2015-07-16
"N15",2015.5,2015-06-15
"M15",2015.41666666667,2015-05-14
"K15",2015.33333333333,2015-04-15
"J15",2015.25,2015-03-16
"H15",2015.16666666667,2015-02-12
"G15",2015.08333333333,2015-01-15
"F15",2015,2014-12-16
"Z14",2014.91666666667,2014-11-13
"X14",2014.83333333333,2014-10-16
"V14",2014.75,2014-09-15
"U14",2014.66666666667,2014-08-14
"Q14",2014.58333333333,2014-07-16
"N14",2014.5,2014-06-13
"M14",2014.41666666667,2014-05-15
"K14",2014.33333333333,2014-04-15
"J14",2014.25,2014-03-14
"H14",2014.16666666667,2014-02-13
"G14",2014.08333333333,2014-01-16
"F14",2014,2013-12-16
"Z13",2013.91666666667,2013-11-14
"X13",2013.83333333333,2013-10-16
"V13",2013.75,2013-09-13
"U13",2013.66666666667,2013-08-15
"Q13",2013.58333333333,2013-07-16
"N13",2013.5,2013-06-13
"M13",2013.41666666667,2013-05-16
"K13",2013.33333333333,2013-04-15
"J13",2013.25,2013-03-14
"H13",2013.16666666667,2013-02-13
"G13",2013.08333333333,2013-01-16
"F13",2013,2012-12-14
"Z12",2012.91666666667,2012-11-15
"X12",2012.83333333333,2012-10-16
"V12",2012.75,2012-09-13
"U12",2012.66666666667,2012-08-16
"Q12",2012.58333333333,2012-07-16
"N12",2012.5,2012-06-14
"M12",2012.41666666667,2012-05-16
"K12",2012.33333333333,2012-04-13
"J12",2012.25,2012-03-15
"H12",2012.16666666667,2012-02-14
"G12",2012.08333333333,2012-01-16
"F12",2012,2011-12-15
"Z11",2011.91666666667,2011-11-15
"X11",2011.83333333333,2011-10-14
"V11",2011.75,2011-09-15
"U11",2011.66666666667,2011-08-16
"Q11",2011.58333333333,2011-07-14
"N11",2011.5,2011-06-15
"M11",2011.41666666667,2011-05-16
"K11",2011.33333333333,2011-04-14
"J11",2011.25,2011-03-16
"H11",2011.16666666667,2011-02-11
"G11",2011.08333333333,2011-01-14
"F11",2011,2010-12-16
"Z10",2010.91666666667,2010-11-15
"X10",2010.83333333333,2010-10-14
"V10",2010.75,2010-09-15
"U10",2010.66666666667,2010-08-16
"Q10",2010.58333333333,2010-07-15
"N10",2010.5,2010-06-15
"M10",2010.41666666667,2010-05-14
"K10",2010.33333333333,2010-04-15
"J10",2010.25,2010-03-16
"H10",2010.16666666667,2010-02-11
"G10",2010.08333333333,2010-01-14
"F10",2010,2009-12-16
"Z09",2009.91666666667,2009-11-13
"X09",2009.83333333333,2009-10-15
"V09",2009.75,2009-09-15
"U09",2009.66666666667,2009-08-14
"Q09",2009.58333333333,2009-07-16
